Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ACLS,"Axcelis Technologies, Inc.",24.95,$779.03M,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls
AXS,Axis Capital Holdings Limited,56.92,$4.73B,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/axs
AXS^D,Axis Capital Holdings Limited,25.26,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axs^d
AXS^E,Axis Capital Holdings Limited,25.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axs^e
AXGN,"AxoGen, Inc.",18.6,$618.27M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/axgn
AAXN,"Axon Enterprise, Inc.",22.645,$1.2B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aaxn
AXON          ,Axovant Sciences Ltd.,25,$2.69B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axon
AXSM,"Axsome Therapeutics, Inc.",5.55,$131.04M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axsm
AXTI,AXT Inc,8.625,$333.4M,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/axti
AZUL,Azul S.A.,28.26,$8.75B,2017,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/azul
AZRE,Azure Power Global Limited,16,$414.66M,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/azre
AZRX,"AzurRx BioPharma, Inc.",4.53,$50.88M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/azrx
AZZ,AZZ Inc.,50.95,$1.32B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/azz
